wt-1,wt-2,wt-3,ko-1,ko-2,ko-3,GeneName
0,0,0,0.056549788,0.038727226,0,Marveld3
36.88710454,40.28501888,36.86888442,42.05825412,42.46169738,41.36738831,Ddx18
2.640176772,2.315075998,2.028651188,2.828373955,3.015386569,2.724774738,Ubl3
0.802611693,0.73387722,0.722100071,0.998054921,0.976431559,0.687447577,Gramd3
44.50603763,53.66190432,50.55073676,44.98776769,42.45502185,48.95946637,Eef1e1
40.25650011,37.62162029,34.73263751,44.60713912,46.67619247,42.6693314,Akt1
3.683451815,2.555039396,3.424422466,3.730511086,3.951927448,2.890719834,Cldn15
1.243428426,1.058533197,0.884928358,1.298667867,1.342143354,1.081539027,Il16
12.84025218,10.4989671,9.552640841,12.87918267,14.04103667,11.54663116,Tcirg1
2.892686647,2.412947117,2.170284713,2.375516618,2.583796604,2.454338595,Naglu
10.25676281,9.249328493,9.710445115,11.44355745,12.7756891,11.80095789,Coasy
4.535547616,4.158101304,3.045319914,3.799429475,3.688022474,3.402098509,Smo
118.7659974,101.8286371,131.0654256,82.74410028,86.56577954,92.37164465,Tspan33
16.4753151,20.27837435,19.41097915,16.28098418,15.55012981,16.82120324,Crnkl1
1.111803906,1.14223671,0.952323246,1.387346429,1.707828351,1.137227066,Rin2
6.242600611,7.698389028,6.021031802,7.298266313,6.267416354,6.77273913,Chordc1
47.9983376,51.36361989,45.17447,54.87248345,56.73258726,54.88332836,Rtcb
17.95025448,20.1442063,17.19945664,21.98803906,20.53385453,20.06542275,Pwp1
20.37545703,21.44457194,24.51276578,15.71619274,16.14447819,17.35536969,Fbxo7
67.88093068,64.60718172,71.18248913,78.84719262,79.30150799,73.8980374,Capns1
0.07175029,0.078726843,0.026681854,0.079025321,0.054119239,0.04082373,Lrp3
0.02936233,0.026847784,0.027297499,0.026949573,0,0,Folr1
3.616041739,3.764555308,3.48136576,4.207675197,4.060572989,3.589564414,Clpb
9.591134154,11.87152411,9.563578356,10.70305834,10.05435506,10.85473872,7-Sep
8.171616512,8.656104298,8.3194467,9.380577884,9.258754857,8.441275366,Zdhhc4
36.5578581,36.7053397,32.98288976,49.2912239,46.60351356,40.86943229,Rac1
9.726810759,10.31121403,10.43199983,10.58102608,11.51455577,11.27643351,Nup214
0.184002481,0.229424702,0.108858257,0.18423562,0.31542711,0.079311975,Aif1l
11.8707237,7.601958019,8.597290762,12.36431115,10.89876558,9.233105876,Cpa3
1.737616763,2.106644167,1.100881063,4.046151747,3.027811312,2.514347008,Ltbp1
8.460876526,10.46912237,8.805707238,12.8082476,13.24016855,12.19125062,Ugp2
0.133028152,0.121635818,0.035335225,0.034884851,0.089588765,0.07208473,Kcnh6
13.45482926,13.28052503,11.89216904,15.05858868,15.63029864,15.70023929,Trmt1
33.53441707,29.31445855,31.33659615,36.40770064,35.53651699,38.16607313,Nacc1
2.504769351,2.541942058,2.405395789,3.435790053,3.373709845,3.810807132,Nfix
184.9290228,152.9541998,177.649163,129.413669,136.7652037,147.240976,Slc1a5
153.3928597,147.3845235,150.399779,152.6191208,145.852134,147.1983902,Uba1
5.1809927,5.424477443,3.239725823,9.811097273,8.31690807,5.741175813,Vwf
1.323590189,1.727235575,1.015471139,1.320978347,1.08436971,1.169836892,Siae
0.920173,1.558093986,0.475257879,2.877762247,2.217138588,1.680532172,Vsig2
