,gene
1189,KLHL24
1190,KLHL4
1191,KLHL6
1192,KLRB1F
1193,KLRD1
1194,KMO
1195,KNL1
1196,KNSTRN
1197,KPNA1
1198,KPNA3
1199,KRT18
1200,KRT7
1201,KYAT1
1202,L2HGDH
1203,LACTB
1204,LAG3
1205,LANCL2
1206,LAP3
1207,LAPTM4B
1208,LAPTM5
1209,LARS2
1210,LAX1
1211,LBHD1
1212,LBP
1213,LCK
1214,LCN2
1215,LCP1
1216,LCP2
1217,LDAH
1218,LDHA
1219,LDHB
1220,LDHD
1221,LDLR
1222,LDLRAD3
1223,LEPROT
1224,LGALS1
1225,LGALS3BP
1226,LGALS9
1227,LHCGR
1228,LHFPL2
1229,LIG1
1230,LIMD2
1231,LLGL1
1232,LMBRD1
1233,LMNA
1234,LMO4
1235,LONP1
1236,LONP2
1237,LPCAT1
1238,LPCAT2
1239,LPCAT3
1240,LPIN1
1241,LPIN2
1242,LPP
1243,LRPAP1
1244,LRRC14
1245,LRRC49
1246,LRRC59
1247,LRRC8B
1248,LRRC8C
1249,LRRFIP1
1250,LSP1
1251,LTB
1252,LTB4R1
1253,LY6A
1254,LY6A2
1255,LY6C2
1256,LY6E
1257,LY6G
1258,LY86
1259,LY9
1260,LYN
1261,LYRM4
1262,LYRM9
1263,LYSMD3
1264,LYZ2
1265,LZTR1
1266,LZTS1
1267,MAD2L1
1268,MAGED1
1269,MAGED2
1270,MAGEE1
1271,MAGEH1
1272,MALAT1
1273,MAMDC2
1274,MAML2
1275,MAML3
1276,MAN1A
1277,MAN2A2
1278,MANEA
1279,MAP2K3
1280,MAP4K2
1281,MAPK1
1282,MAPK8IP3
1283,MAPK9
1284,MAPKAPK3
1285,MARCH5
1286,MARCH6
1287,MARCH8
1288,MARS
1289,MARVELD1
1290,MAT2A
1291,MAU2
1292,MAVS
1293,MBNL3
1294,MBOAT2
1295,MBTPS1
1296,MC5R
1297,MCEMP1
1298,MCM10
1299,MCM2
1300,MCM3
1301,MCM4
1302,MCM5
1303,MCM6
1304,MCM7
1305,MCOLN2
1306,MCPT8
1307,MCTP1
1308,MCTP2
1309,MDGA1
1310,MDH2
1311,MDN1
1312,ME2
1313,MECOM
1314,MED16
1315,MED22
1316,MEF2C
1317,MEFV
1318,MEIS1
1319,MEMO1
1320,MESD
1321,METAP1
1322,METAP1D
1323,METAP2
1324,METTL15
1325,METTL25
1326,METTL27
1327,METTL7A1
1328,METTL8
1329,MEX3C
1330,MFGE8
1331,MFN2
1332,MFNG
1333,MFSD1
1334,MFSD10
1335,MFSD14B
1336,MFSD2B
1337,MFSD6
1338,MFSD8
1339,MGAT1
1340,MGAT5
1341,MGLL
1342,MGST3
1343,MICU1
1344,MIEF1
1345,MIGA2
1346,MILR1
1347,MINDY3
1348,MINPP1
1349,MIOS
1350,MIR17HG
1351,MIR6236
1352,MIR6240
1353,MIR99AHG
1354,MIS12
1355,MIS18BP1
1356,MKI67
1357,MLH3
1358,MLKL
1359,MLLT3
1360,MLPH
1361,MMRN1
1362,MMUT
1363,MN1
1364,MNDAL
1365,MNS1
1366,MOGS
1367,MON2
1368,MORC2A
1369,MORC3
1370,MORF4L2
1371,MPDZ
1372,MPEG1
1373,MPI
1374,MPL
1375,MPND
1376,MPO
1377,MPP5
1378,MPZL1
1379,MR1
1380,MRM1
1381,MRPL20
1382,MRPL37
1383,MS4A2
1384,MS4A3
1385,MS4A4B
1386,MS4A4C
1387,MS4A6B
1388,MS4A6C
1389,MSH6
1390,MT1
1391,MT2
1392,MTAP
1393,MTCH2
1394,MTFR1
1395,MTHFD1
1396,MTMR1
1397,MTMR4
1398,MTMR6
1399,MTO1
1400,MTOR
1401,MTR
1402,MTREX
1403,MTURN
1404,MTUS1
1405,MUC13
1406,MXD3
1407,MYADM
1408,MYB
1409,MYC
1410,MYCN
1411,MYCT1
1412,MYH10
1413,MYL10
1414,MYLIP
1415,MYLK
1416,MYLK3
1417,MYNN
1418,MYO1D
1419,MYO1F
1420,MYO1G
1421,MYO5A
1422,MYO5C
1423,MYOF
1424,N4BP3
1425,NAA30
1426,NAA35
1427,NAA50
1428,NABP1
1429,NADK
1430,NAE1
1431,NAGA
1432,NAGLU
1433,NAIP5
1434,NAMPT
1435,NAP1L3
1436,NAPG
1437,NAPRT
1438,NAPSA
1439,NARF
1440,NARFL
1441,NARS
1442,NASP
1443,NAV1
1444,NBEAL2
1445,NCAPD2
1446,NCAPG
1447,NCAPG2
1448,NCAPH
1449,NCEH1
1450,NCF1
1451,NCKAP1
1452,NCL
1453,NCLN
1454,NCOA6
1455,NDC1
1456,NDC80
1457,NDE1
1458,NDEL1
1459,NDN
1460,NDNF
1461,NDOR1
1462,NDRG1
1463,NDRG2
1464,NDRG3
1465,NDST2
1466,NDUFA10
1467,NDUFB9
1468,NDUFS1
1469,NDUFV1
1470,NEAT1
1471,NECAP2
1472,NEDD1
1473,NEIL3
1474,NEK1
1475,NEK2
1476,NEK6
1477,NEK8
1478,NELFB
1479,NEO1
1480,NET1
1481,NEURL3
1482,NFAM1
1483,NFAT5
1484,NFATC1
1485,NFATC2
1486,NFE2
1487,NFE2L2
1488,NFIA
1489,NFKBIA
1490,NFKBIE
1491,NFXL1
1492,NGLY1
1493,NHP2
1494,NICN1
1495,NIF3L1
1496,NIT1
1497,NKG7
1498,NLRC3
1499,NMD3
1500,NMT2
1501,NOC4L
1502,NOL4L
1503,NOL9
1504,NOLC1
1505,NOP2
1506,NOTCH1
1507,NOXA1
1508,NPDC1
1509,NPLOC4
1510,NPM1
1511,NPR2
1512,NPRL3
1513,NPTN
1514,NR2C1
1515,NR3C2
1516,NRF1
1517,NRROS
1518,NRXN1
1519,NSD2
1520,NSDHL
1521,NSMAF
1522,NSMF
1523,NSUN2
1524,NSUN3
1525,NT5C2
1526,NT5C3
1527,NT5DC1
1528,NUAK2
1529,NUBP2
1530,NUCB2
1531,NUDCD1
1532,NUDCD3
1533,NUDT12
1534,NUDT19
1535,NUDT4
1536,NUDT9
1537,NUF2
1538,NUP107
1539,NUP155
1540,NUP85
1541,NUP88
1542,NUP93
1543,NUPR1
1544,NUS1
1545,NUSAP1
1546,NWD1
1547,NXPE2
1548,NXPE5
1549,OAS1B
1550,OAS1G
1551,OAS2
1552,OAS3
1553,OASL1
1554,OASL2
1555,OAT
1556,OBSCN
1557,OBSL1
1558,OCLN
1559,ODC1
1560,OLR1
1561,OPTN
1562,ORC2
1563,ORC5
1564,ORC6
1565,OSBPL1A
1566,OSBPL8
1567,OSGIN1
1568,OSGIN2
1569,OSTM1
1570,OTUB2
1571,OTUD4
1572,OTUD6B
1573,OTULINL
1574,P2RX1
1575,P2RY1
1576,P2RY14
1577,P3H1
1578,P4HB
1579,PA2G4
1580,PABPC4L
1581,PACS1
1582,PACSIN2
1583,PADI4
1584,PAFAH1B2
1585,PAFAH2
1586,PAG1
1587,PAK1
1588,PALLD
1589,PANX1
1590,PAPSS2
1591,PAQR5
1592,PAQR7
1593,PAQR9
1594,PARD3B
1595,PARM1
1596,PARP3
1597,PARP8
1598,PARVG
1599,PATJ
1600,PATL1
1601,PBK
1602,PBLD2
1603,PBX1
1604,PCCA
1605,PCLAF
1606,PCMTD2
1607,PCNA
1608,PCP4L1
1609,PCYT1A
1610,PCYT2
1611,PDCD4
1612,PDE12
1613,PDE1B
1614,PDE1C
1615,PDE4B
1616,PDE4D
1617,PDE9A
1618,PDGFC
1619,PDGFD
1620,PDGFRB
1621,PDIA3
1622,PDIA4
1623,PDIA6
1624,PDK3
1625,PDLIM5
1626,PDZK1IP1
1627,PEA15A
1628,PEAR1
1629,PECAM1
1630,PF4
1631,PFAS
1632,PFKM
1633,PFKP
1634,PGLYRP1
1635,PGLYRP2
1636,PGM1
1637,PGM2L1
1638,PGR
1639,PGRMC1
1640,PHACTR2
1641,PHAX
1642,PHB2
1643,PHETA2
1644,PHF10
1645,PHF11B
1646,PHF5A
1647,PHF6
1648,PHF8
1649,PHTF2
1650,PICALM
1651,PIDD1
1652,PIF1
1653,PIGA
1654,PIGO
1655,PIGQ
1656,PIK3C3
1657,PIK3IP1
1658,PIK3R1
1659,PIK3R2
1660,PIM2
1661,PIMREG
1662,PIP4K2A
1663,PIP4K2B
1664,PIRB
1665,PITPNB
1666,PITPNC1
1667,PITRM1
1668,PJA2
1669,PKD2
1670,PKIA
1671,PKIB
1672,PKLR
1673,PKM
1674,PKN3
1675,PLA2G12A
1676,PLA2G15
1677,PLAA
1678,PLAC8
1679,PLBD2
1680,PLCB2
1681,PLCG2
1682,PLCL1
1683,PLD3
1684,PLD4
1685,PLEC
1686,PLEK
1687,PLEKHA2
1688,PLEKHB1
1689,PLEKHG1
1690,PLEKHG6
1691,PLEKHO2
1692,PLIN2
1693,PLIN3
1694,PLK1
1695,PLK2
1696,PLPP1
1697,PLPPR3
1698,PLSCR4
1699,PLXDC2
1700,PLXNA1
